full_name,biobank_samples,class
Onychoteuthis prolata,2,Cephalopoda
Opechona bacillaris,2,Trematoda
Ophelia acuminata,1,Polychaeta
Opheltes glaucopterus,1,Insecta
Ophiocomina nigra,1,Ophiuroidea
Ophiodromus flexuosus,1,Polychaeta
Ophion confusus,1,Insecta
Ophion costatus,1,Insecta
Ophion ellenae,1,Insecta
Ophion luteus,1,Insecta
Ophion minutus,1,Insecta
Ophion obscuratus,1,Insecta
Ophiopholis aculeata,1,Ophiuroidea
Ophiura albida,5,Ophiuroidea
Ophiuroidea,1,Ophiuroidea
Ophyiulus pilosus,5,Diplopoda
Opilio saxatilis,2,Arachnida
Opomyza germinationis,1,Insecta
Opsius stactogalus,1,Insecta
Orchestes fagi,1,Insecta
Orchestes rusci,1,Insecta
Orchestia gammarellus,4,Malacostraca
Orcinus orca,1,Mammalia
Oreochromis niloticus,3,Actinopterygii
Oritoniscus flavus,5,Malacostraca
Ornithorhynchus anatinus,84,Mammalia
Ornithorhynchus anatinus -,2,Mammalia
Orthetrum coerulescens,1,Insecta
Orthocentrus castellanus,1,Insecta
Orthosia cerasi,1,Insecta
Orycteropus afer,4,Mammalia
Orycteropus afer -,15,Mammalia
Oryctolagus cuniculus,15,Mammalia
Oryx - -,2,Mammalia
Oryx dammah -,1,Mammalia
Oryx gazella -,2,Mammalia
Oryx leucoryx -,15,Mammalia
Oryzias latipes,5,Actinopterygii
Osmerus eperlanus,3,Actinopterygii
Osmia bicolor,1,Insecta
Ostralegus haematopus -,1,Aves
Otaria byronia -,1,Mammalia
Otiorhynchus armadillo,1,Insecta
Otiorhynchus atroapterus,1,Insecta
Otiorhynchus raucus,1,Insecta
Otiorhynchus rugosostriatus,1,Insecta
Otiorhynchus sulcatus,1,Insecta
Otis tarda -,1,Aves
Otocolobus manul -,21,Mammalia
Otocyon megalotis -,6,Mammalia
Otodistomum cestoides,3,Cestoda
Otodistomum cestoides,3,Gastropoda
Otolemur - -,1,Mammalia
Oulema obscura,1,Insecta
Ovibos Moschatus -,10,Mammalia
Ovibos moschatus -,1,Mammalia
Ovis aries -,4,Mammalia
Ovis vignei bochariensis,9,Mammalia
Oxychilus alliarius,1,Gastropoda
Oxystoma pomonae,1,Insecta
Oxytelus laqueatus,1,Insecta
Pachygnatha degeeri,2,Arachnida
Pachyrhinus lethierryi,1,Insecta
Pachystomias microdon,1,Actinopterygii
Paederus littoralis,1,Insecta
Pagurus pubescens,2,Malacostraca
Paidiscura pallens,3,Arachnida
Palaemon macrodactylus,1,Malacostraca
Palloptera scutellata,2,Insecta
Pan paniscus -,4,Mammalia
Pan troglodytes,2,Mammalia
Pan troglodytes -,17,Mammalia
Pan troglodytes verus,2,Mammalia
Pandion haliaeetus -,8,Aves
Pandion haliaetus -,1,Aves
Panorpa germanica,1,Insecta
Panthera leo -,6,Mammalia
Panthera leo leo,1,Mammalia
Panthera leo persica,30,Mammalia
Panthera onca -,18,Mammalia
Panthera pardus -,3,Mammalia
Panthera pardus kotiya,6,Mammalia
Panthera pardus nimr,1,Mammalia
Panthera pardus orientalis,22,Mammalia
Panthera pardus saxicolor,10,Mammalia
Panthera tigris -,11,Mammalia
Panthera tigris altaica,53,Mammalia
Panthera tigris sondaica,5,Mammalia
Panthera tigris sumatrae,12,Mammalia
Panthera tigris tigris,6,Mammalia
Panthera uncia -,50,Mammalia
Pantherophis guttatus,11,Reptilia
Pantisarthrus luridus,1,Insecta
Panurgus banksianus,1,Insecta
Papio cynocephalus,1,Mammalia
Papio cynocephalus -,1,Mammalia
Papio hamadryas -,18,Mammalia
Papio papio -,1,Mammalia
Parabuteo unicinctus -,7,Aves
Parachronistis albiceps,1,Insecta
Paradisaea rubra -,5,Aves
Paradromius linearis,2,Insecta
Paraechinus aethiopicus -,2,Mammalia
Paraechinus aethipicus -,1,Mammalia
Paraperithous gnathaulax,1,Insecta
Parasteatoda lunata,5,Arachnida
Pardosa,3,Arachnida
Pardosa pullata,2,Arachnida
Pardosa saltans,1,Arachnida
Parethelcus pollinarius,1,Insecta
Pariambus typicus,3,Malacostraca
Paroedura picta,21,Reptilia
Parus major -,4,Aves
Passer domesticus -,3,Aves
Pastor roseus -,1,Aves
Patellogastropoda,2,Gastropoda
Pavo cristatus -,2,Aves
Pecari tajacu -,6,Mammalia
Pecten maximus,2,Bivalvia
Pectinaria koreni cirrata,1,Polychaeta
Pelecanoides - -,1,Aves
Pelecanus - -,1,Aves
Pelecanus crispus -,1,Aves
Pelecanus rufescens -,1,Aves
Penelopides panini -,5,Aves
Penestragania apicalis,1,Insecta
Pentatoma rufipes,1,Insecta
Peracreadium idoneum,1,Trematoda
Perameles gunnii,5,Mammalia
Perilissus stigmaticus,1,Insecta
Perinereis cultrifera,2,Polychaeta
Perioculodes longimanus,1,Malacostraca
Periphyllus acericola,1,Insecta
Pernis apivorus -,2,Aves
Perodicticus potto -,7,Mammalia
Peromyscus maniculatus,4,Mammalia
Petaurista alborufus -,9,Mammalia
Petaurus breviceps -,4,Mammalia
Petrobius brevistylis,1,Insecta
Petrogale penicillata -,7,Mammalia
Petrogale penicillata penicillata,2,Mammalia
Petrogale xanthopus,3,Mammalia
Phacochoerus africanus -,5,Mammalia
Phalacrocorax - -,3,Aves
Phalacrocorax aristotelis -,1,Aves
Phalacrocorax bougainvilliorum -,1,Aves
Phalacrocorax carbo -,1,Aves
Phalacrus,1,Insecta
Phalangium opilio,1,Arachnida
Phalaropus lobatus -,1,Aves
Phallusia mammillata,3,Ascidiacea
Phanerotoma dentata,1,Insecta
Phaonia rufiventris,1,Insecta
Phascolarctos cinereus -,2,Mammalia
Phasia obesa,2,Insecta
Phataginus tricuspis -,1,Mammalia
Pheonicopterus ruber ruber,1,Aves
Phigalia pilosaria,1,Insecta
Philaenus spumarius,2,Insecta
Philine aperta,1,Gastropoda
Philodromus aureolus,1,Arachnida
Philodromus buxi,1,Arachnida
Philodromus cespitum,1,Arachnida
Philonicus albiceps,2,Insecta
Philonthus cognatus,1,Insecta
Philopedon plagiatum,1,Insecta
Phloeomys cumingi -,2,Mammalia
Phloeomys pallidus -,1,Mammalia
Phobetes atomator,1,Insecta
Phoca vitulina -,13,Mammalia
Phocoena phocoena -,1,Mammalia
Phoeniconaias minor -,1,Aves
Phoenicoparrus andinus -,1,Aves
Phoenicopterus - -,3,Aves
Phoenicopterus chilensis -,7,Aves
Phoenicopterus ruber ruber,1,Aves
Pholoe baltica,2,Polychaeta
Phoncoena phocoena -,14,Mammalia
Phosichthys argenteus,1,Actinopterygii
Photis longicaudata,1,Malacostraca
Phradis interstitialis,20,Insecta
Phratora laticollis,1,Insecta
Phthinia mira,1,Insecta
Phthiria pulicaria,1,Insecta
Phylidorea ferruginea,3,Insecta
Phyllodoce groenlandica,2,Polychaeta
Phyllodoce mucosa,3,Polychaeta
Phyllodocida,2,Polychaeta
Phyllopertha horticola,1,Insecta
Phylloscopus trochilus -,2,Aves
Phyllotreta exclamationis,1,Insecta
Phyllotreta vittula,1,Insecta
Physatocheila dumetorum,1,Insecta
Physella gyrina,1,Gastropoda
Physignathus - -,1,Reptilia
Phyto melanocephala,1,Insecta
Piliocolobus preussi -,5,Mammalia
Pilumnus hirtellus,2,Malacostraca
Pipistrellus - -,1,Mammalia
Pipistrellus pipistrellus,145,Mammalia
Pipistrellus pygmaeus,2,Mammalia
Pisaura mirabilis,3,Arachnida
Pisidia longicornis,1,Malacostraca
Pithecia pithecia -,7,Mammalia
Pitta sordida -,1,Aves
Platalea - -,2,Aves
Platalea alba -,5,Aves
Platalea leucorodia -,6,Aves
Plateumaris discolor,1,Insecta
Platichthys flesus,1,Actinopterygii
Platyarthrus hoffmannseggi,3,Malacostraca
Platycheirus albimanus,1,Insecta
Platycnemis pennipes,5,Insecta
Platymischus dilatatus,8,Insecta
Platynereis dumerilii,2,Polychaeta
Platypus cylindrus,1,Insecta
Plecotus auritus,51,Mammalia
Plectiscidea aquilonia,1,Insecta
Plectiscus impurator,3,Insecta
Plectiscus ridibundus,2,Insecta
Plectrophenax nivalis -,1,Aves
Plegadis falcinellus -,2,Aves
Plodia interpunctella,1,Insecta
Pluvialis - -,1,Aves
Pluvialis apricaria -,1,Aves
Pluvialis squatarola -,1,Aves
Podalonia hirsuta,2,Insecta
Podargus strigoides -,8,Aves
Podiceps auritus -,1,Aves
Podiceps grisegena -,1,Aves
Podocnemis unifilis,2,Reptilia
Poephila guttata -,2,Aves
Pogona - -,2,Reptilia
Pogona vitticeps,9,Reptilia
Polietes domitor,1,Insecta
Pollenia amentaria,1,Insecta
Pollenia angustigena,1,Insecta
Polycentropus irroratus,1,Insecta
Polychaeta,21,Polychaeta
Polycirrus caliendrum,1,Polychaeta
Polydesmus angustus,5,Diplopoda
Polydesmus coriaceus,3,Diplopoda
Polydrusus cervinus,1,Insecta
Polydrusus formosus,1,Insecta
Polymixis lichenea,2,Insecta
Polyplacophora,1,Polyplacophora
Polyplectron - -,2,Aves
Polyplectron malacense -,1,Aves
Polyplectron napoleonis -,2,Aves
Polysphincta tuberosa,1,Insecta
Polytelis anthopeplus -,1,Aves
Polytribax perspicillator,1,Insecta
Pomatias elegans,5,Gastropoda
Ponera coarctata,4,Insecta
Pongo - -,1,Mammalia
Pongo abelii -,2,Mammalia
Pongo p. pygmaeus,1,Mammalia
Pongo pygmaeus,5,Mammalia
Pongo pygmaeus -,1,Mammalia
Pongo pygmaeus abelii,12,Mammalia
Pongo pygmaeus pygmaeus,1,Mammalia
Porcellana platycheles,2,Malacostraca
Porcellio scaber,3,Malacostraca
Porcellio spinicornis,2,Malacostraca
Porifera,5,
Poromitra crassiceps,3,Actinopterygii
Porphyrio gallinule -,2,Aves
Potamochoerus porcus -,2,Mammalia
Potamochoerus porcus pictus,3,Mammalia
Potamopyrgus antipodarum,2,Gastropoda
Potorous tridactylus,2,Mammalia
Potorous tridactylus -,13,Mammalia
Potos flavus -,1,Mammalia
Praxillella gracilis,1,Polychaeta
Presbytis comata -,6,Mammalia
Presbytis melalophos fluviatilis,1,Mammalia
Presbytis melalophos melalophos,8,Mammalia
Presbytis melalophos mitrata,2,Mammalia
Presbytis melalophos nobilis,3,Mammalia
Presbytis melalophos siamensis,1,Mammalia
Pria dulcamarae,1,Insecta
Prionailurus bengalensis -,12,Mammalia
Prionailurus bengalensis euptilurus,5,Mammalia
Prionailurus planiceps -,1,Mammalia
Prionailurus rubiginosus phillipsi,13,Mammalia
Prionailurus viverrinus -,37,Mammalia
Procavia - -,1,Mammalia
Procavia capensis,2,Mammalia
Procavia capensis -,5,Mammalia
Procloeon pennulatum,1,Insecta
Procyon lotor -,1,Mammalia
Proechimys goeldii,1,Reptilia
Prolemur simus -,1,Mammalia
Promethes sulcator splendidus,1,Insecta
Propithecus coronatus -,4,Mammalia
Propithecus verreauxi coronatus,2,Mammalia
Propylea quattuordecimpunctata,2,Insecta
Prosena siberita,2,Insecta
Prosorhynchoides borealis,3,Trematoda
Proteles cristata -,5,Mammalia
Proteroiulus fuscus,1,Diplopoda
Protonemura montana,6,Insecta
Prunella modularis -,1,Aves
Przewalskium albirostre -,2,Mammalia
Przewalskium albirostris -,20,Mammalia
Psacadina,1,Insecta
Psallus haematodes,1,Insecta
Pseudastur albicollis,5,Aves
Pseudeuophrys lanigera,1,Arachnida
Pseudocheirus - -,1,Mammalia
Pseudois nayaur -,8,Mammalia
Pseudoprotella phasma,2,Malacostraca
Pseudoscopelus australis,1,Actinopterygii
Pseudozoogonoides subaequiporus,1,Trematoda
Psilothrix viridicoerulea,1,Insecta
Psylliodes chrysocephala,2,Insecta
Psyllobora vigintiduopunctata,1,Insecta
Pteroida,2,Bivalvia
Pteromys volans -,2,Mammalia
Pteronura brasiliensis -,13,Mammalia
Pteropus livingstonei -,1,Mammalia
Pteropus livingstonii -,1,Mammalia
Pteropus rodricensis -,22,Mammalia
Pterorhinus - -,1,Aves
Pterorhinus galbanus -,1,Aves
Pterostichus madidus,3,Insecta
Pterostichus niger,1,Insecta
Pterygioteuthis,1,Cephalopoda
Pterygioteuthis giardi,1,Cephalopoda
Ptinus dubius,1,Insecta
Ptychoptera albimana,13,Insecta
Ptychoptera contaminata,1,Insecta
Pudu puda -,29,Mammalia
Puffinus puffinus -,4,Aves
Pulsatrix perspicillata,1,Aves
Pulsatrix perspicillata -,1,Aves
Pulvinaria,1,Insecta
Puma concolor -,8,Mammalia
Pusa sibirica -,1,Mammalia
Pycnogonum littorale,4,Pycnogonida
Pycnomerus fuliginosus,2,Insecta
Pygathrix nemaeus nemaeus,6,Mammalia
Pygoscelis papua -,5,Aves
Pygoscelis papua papua,6,Aves
Pygostolus sticticus,1,Insecta
Pyralis farinalis,1,Insecta
Pyrausta aurata,1,Insecta
Pyrausta despicata,1,Insecta
Pyrausta purpuralis,1,Insecta
Pyroteuthis addolux,4,Cephalopoda
Pyrrhocorax pyrrhocorax,1,Aves
Pyrrhocorx pyrrhocorax -,4,Aves
Pyrrhula pyrrhula -,3,Aves
Python molurus bivittatus,1,Reptilia
Radiicephalus elongatus,1,Actinopterygii
Rallus aquaticus -,2,Aves
Ramphastos toco -,1,Aves
Rangifer tarandus,1,Mammalia
Rangifer tarandus -,3,Mammalia
Rangifer tarandus fennicus,14,Mammalia
Rangifer tarandus platyrhynchus,2,Mammalia
Rattus norvegicus,35,Mammalia
Rattus norvegicus -,2,Mammalia
Rattus rattus,2,Mammalia
Rattus rattus flavipectus,9,Mammalia
Recurvirostra avosetta -,2,Aves
Rhabdomiris striatellus,1,Insecta
Rhadinoceraea micans,1,Insecta
Rhagio scolopacea,1,Insecta
Rhagonycha fulva,1,Insecta
Rhagonycha lutea,1,Insecta
Rhamphus oxyacanthae,1,Insecta
Rhaphigaster nebulosa,1,Insecta
Rhea pennatus -,1,Aves
Rhimphoctona megacephalus,3,Insecta
Rhingia rostrata,1,Insecta
Rhinoceros unicornis -,1,Mammalia
Rhinolophus ferrumequinum,2,Mammalia
Rhinolophus hipposideros,14,Mammalia
Rhinoncus pericarpius,1,Insecta
Rhinophora lepida,1,Insecta
Rhipidocotyle minima,2,Trematoda
Rhithrogena germanica,3,Insecta
Rhithrogena semicolorata,1,Insecta
Rhizophagus dispar,1,Insecta
Rhizotrogus aestivus,1,Insecta
Rhopalapion longirostre,1,Insecta
Rhopalopyx adumbrata,1,Insecta
Rhopalus subrufus,2,Insecta
Rhorus exstirpatorius,2,Insecta
Rhyparochromus alboacuminatus,1,Insecta
Rhyparochromus vulgaris,1,Insecta
Rhyssa persuasoria,1,Insecta
Rhytistylus proceps,5,Insecta
Rhyzobius chrysomeloides,1,Insecta
Rhyzobius forestieri,1,Insecta
Rhyzobius litura,1,Insecta
Rilaena triangularis,1,Arachnida
Rissa - -,12,Aves
Rissa sp. -,15,Aves
Rissa tridactyla -,4,Aves
Rivellia syngenesiae,1,Insecta
Rivula sericealis,1,Insecta
Romerolagus diazi -,2,Mammalia
Rousettus aegyptiacus -,2,Mammalia
Rucervus eldii thamin,2,Mammalia
Rupicapra rupicapra -,1,Mammalia
Rusa alfredi -,4,Mammalia
Sabella spallanzanii,3,Polychaeta
Sabellida,3,Polychaeta
Saccoglossus horsti,2,Enteropneusta
Saccostomus campestris -,1,Mammalia
Sagartia elegans,3,Anthozoa
Saguinus b. bicolor,2,Mammalia
Saguinus bicolor -,6,Mammalia
Saguinus bicolor bicolor,23,Mammalia
Saguinus fuscicollis -,2,Mammalia
Saguinus fuscicollis illigeri,3,Mammalia
Saguinus imperator subgrisescens,29,Mammalia
Saguinus labiatus -,8,Mammalia
Saguinus labiatus labiatus,5,Mammalia
Saguinus midas -,8,Mammalia
Saguinus midas illigeri,1,Mammalia
Saguinus midas midas,8,Mammalia
Saguinus oedipus -,61,Mammalia
Saguinus weddelli -,9,Mammalia
Saguinus weddellii -,6,Mammalia
Saimiri - -,1,Mammalia
Saimiri boliviensis -,10,Mammalia
Saimiri sciureus,2,Mammalia
Saimiri sciureus -,6,Mammalia
Saimiri sciureus sciureus,2,Mammalia
Salticus scenicus,1,Arachnida
Sanzinia madagascariensis -,2,Reptilia
Sarcophilus harrisii,8,Mammalia
Satchellius mammalis,1,Clitellata
Saxicola torquatus -,1,Aves
Scaeva pyrastri,1,Insecta
Scalibregma inflatum,3,Polychaeta
Scambus nigricans,1,Insecta
Scathophaga furcata,1,Insecta
Scelio,1,Insecta
Sceloporus malachiticus,3,Reptilia
Schendyla nemorensis,3,Chilopoda
Schizomavella linearis,1,Gymnolaemata
Schizotus pectinicornis,1,Insecta
Sciara hemerobioides,1,Insecta
Scincus scincus,7,Reptilia
Scissirostrum dubium -,1,Aves
Sciurus carolinensis,12,Mammalia
Sciurus carolinensis -,7,Mammalia
Sciurus variegatoides dorsalis,1,Mammalia
Sciurus vulgaris,32,Mammalia
Sciurus vulgaris -,111,Mammalia
Scolelepis squamata,3,Polychaeta
Scoletoma fragilis,1,Polychaeta
Scolopax gallinago -,2,Aves
Scolopostethus,1,Insecta
Scolopostethus decoratus,1,Insecta
Scopelarchus guentheri,2,Actinopterygii
Scopelogadus beanii,1,Actinopterygii
Scopelogadus sp.,1,Actinopterygii
Scotophilus dinganii,3,Mammalia
Scrobipalpa costella,1,Insecta
Scruparia ambigua,1,Gymnolaemata
Scrupocellaria scruposa,1,Gymnolaemata
Scymnus interruptus,2,Insecta
Scymnus suturalis,1,Insecta
Scytodes thoracica,1,Arachnida
Segestria florentina,3,Arachnida
Segestria senoculata,2,Arachnida
Selenoteuthis sp.,1,Cephalopoda
Semidalis pseudouncinata,1,Insecta
Semnopithecus priam -,3,Mammalia
Semnopithecus priam thersites,1,Mammalia
Sepedon sphegea,1,Insecta
Sepedon spinipes,1,Insecta
Sericomyia silentis,1,Insecta
Sericostoma personatum,1,Insecta
Serpula vermicularis,1,Polychaeta
Serrivomer beanii,6,Actinopterygii
Serrivomer sp.,1,Actinopterygii
Setonix brachyurus -,1,Mammalia
Siagonium quadricorne,2,Insecta
Sicus ferrugineus,4,Insecta
Sigara dorsalis,2,Insecta
Sigara scotti,1,Insecta
Sigmodon hispidus,11,Mammalia
Silpha laevigata,2,Insecta
Silvanus unidentatus,1,Insecta
Simulium equinum,2,Insecta
Simulium reptans,1,Insecta
Sinarachna nigricornis,1,Insecta
Sio nordenskjoeldii,1,Actinopterygii
Siphonoperla torrentium,2,Insecta
Sitona lepidus,1,Insecta
Sitona lineatus,6,Insecta
Sitta europaea -,2,Aves
Sminthopsis crassicaudata,10,Mammalia
Sminthopsis macroura,6,Mammalia
Snyderidia canina,6,Actinopterygii
Solea solea,1,Actinopterygii
Solva marginata,1,Insecta
Somateria fischeri -,2,Aves
Somateria mollissima -,8,Aves
Sorex araneus,10,Mammalia
Sorex araneus -,1,Mammalia
Sorex coronatus,1,Mammalia
Sorex granarius,4,Mammalia
Sorex minutus -,1,Mammalia
Speothus venaticus -,14,Mammalia
Sphaerodorum gracilis,1,Polychaeta
Sphaerophoria scripta,4,Insecta
Sphecodes monilicornis,1,Insecta
Sphecodes reticulatus,1,Insecta
Spheniscus demersus -,9,Aves
Spheniscus humboldti -,7,Aves
Spilocuscus maculatus -,1,Mammalia
Spilopelia senegalensis -,1,Aves
Spiophanes kroyeri,1,Polychaeta
Spizaetus tyrannus,11,Aves
Spreo superbus -,1,Aves
Squamapion atomarium,2,Insecta
Stauroteuthis gilchristi,8,Cephalopoda
Steatoda bipunctata,2,Arachnida
Steatoda triangulosa,1,Arachnida
Stemonyphantes lineatus,1,Arachnida
Stenichneumon culpator,2,Insecta
Stenobothrus lineatus,1,Insecta
Stenocranus minutus,5,Insecta
Stenodema calcarata,1,Insecta
Stenotaenia linearis,2,Chilopoda
Stenus impressus,1,Insecta
Stephanostomum baccatum,1,Trematoda
Stercorarius maccormicki -,1,Aves
Stercorarius parasiticus -,1,Aves
Stercorarius pomarinus -,1,Aves
Steringophorus thulini,1,Trematoda
Sterna hirundo -,10,Aves
Sterna paradisaea -,12,Aves
Sternaspis,1,Polychaeta
Sternoptyx diaphana,3,Actinopterygii
Stethorus punctillum,1,Insecta
Stictonetta naevosa -,1,Aves
Stigmatoteuthis arcturi,4,Cephalopoda
Stilbops ruficornis,2,Insecta
Stoloteuthis leucoptera,1,Cephalopoda
Stomias boa,3,Actinopterygii
Stomorhina lunata,1,Insecta
Streptopelia decaoctoa -,2,Aves
Strigamia acuminata,1,Chilopoda
Strigocuscus gymnotis -,1,Mammalia
Strix aluco -,89,Aves
Strix nebulosa -,2,Aves
Strophosoma melanogrammum,1,Insecta
Sturmia bella,1,Insecta
Sturnus vulgaris -,3,Aves
Stylommatophora,1,Gastropoda
Subcoccinella vigintiquatuorpunctata,3,Insecta
Suillia variegata,2,Insecta
Suncus murinus,8,Mammalia
Suncus murinus -,2,Mammalia
Suricata suricatta -,5,Mammalia
Surnia ulula -,1,Aves
Sus cebifrons negrinus,9,Mammalia
Sus scrofa,11,Mammalia
Sus verrucosus -,2,Mammalia
Sussaba cognata,2,Insecta
Sussaba pulchella,1,Insecta
Sylvia atricapilla -,3,Aves
Sylvia borin -,1,Aves
Sylvicola cinctus,1,Insecta
Sympetrum striolatum,2,Insecta
Symphalangus syndactylus -,11,Mammalia
Synanthedon andrenaeformis,1,Insecta
Synanthedon myopaeformis,1,Insecta
Synapion ebeninum,1,Insecta
Syncerus nanus -,1,Mammalia
Syntomus foveatus,1,Insecta
Syritta pipiens,2,Insecta
Syrphus ribesii,1,Insecta
Tabanus autumnalis leucophilus,1,Insecta
Tachina fera,3,Insecta
Tachina grossa,2,Insecta
Tachybaptus ruficollis -,2,Aves
Tachyerges salicis,1,Insecta
Tachyglossus aculeatus,43,Mammalia
Tachyglossus aculeatus -,5,Mammalia
Tachypodoiulus niger,3,Diplopoda
Tachyporus hypnorum,1,Insecta
Tachystola acroxantha,1,Insecta
Tadorna tadorna -,1,Aves
Tadorna tadornoides -,2,Aves
Taeniapion urticarium,1,Insecta
Taeniopygia guttata,1,Aves
Talitrus saltator,5,Malacostraca
Talpa altaica,3,Mammalia
Talpa europaea -,2,Mammalia
Talpa europea -,3,Mammalia
Tamandua tetradactyla,3,Mammalia
Tamandua tetradactyla -,7,Mammalia
Tamias sibiricus,4,Mammalia
Tandonia budapestensis,3,Gastropoda
Tapirus terrestris -,3,Mammalia
Tarentola annularis,6,Reptilia
Tauraco erythrolophus -,1,Aves
Tellina tenuis,3,Bivalvia
Temnothorax nylanderi,1,Insecta
Teratoscincus keyserlingii,2,Reptilia
Teratoscincus scincus,1,Reptilia
Terebellides stroemi,1,Polychaeta
Terrapene carolina,2,Reptilia
Tersilochus obscurator,2,Insecta
Tetanocera hyalipennis,2,Insecta
Tetragnatha extensa,1,Arachnida
Tetragnatha montana,1,Arachnida
Tetrao urogallus -,26,Aves
Tetraodon nigroviridis,1,Actinopterygii
Tetrax tetrax -,2,Aves
Tetrix subulata,1,Insecta
Teuthida,2,Cephalopoda
Thalasseus sandvicensis -,8,Aves
Thalassiornis leuconotus -,4,Aves
Thalassornis leuconotus -,2,Aves
Thecophora atra,2,Insecta
Thera firmata,3,Insecta
Thera juniperata,1,Insecta
Thera obeliscata,4,Insecta
Thereva bipunctata,2,Insecta
Theristicus melanopis -,5,Aves
Theromyzon tessulatum,1,Clitellata
Therophilus tumidulus,1,Insecta
Theropithecus gelada -,6,Mammalia
Threskiornis aethiopicus -,38,Aves
Threskiornis sp. -,1,Aves
Thryogenes nereis,1,Insecta
Tibellus oblongus,2,Arachnida
Tiphia femorata,6,Insecta
Tipula confusa,1,Insecta
Tipula lateralis,1,Insecta
Tipula luna,1,Insecta
Tipula maxima balcanica,2,Insecta
Tipula oleracea,2,Insecta
Tipula paludosa,2,Insecta
Trachemys scripta elegans,2,Reptilia
Trachyphloeus alternans,1,Insecta
Trachyphloeus scabriculus,1,Insecta
Trachypithecus - -,1,Mammalia
Trachypithecus auratus -,19,Mammalia
Trachypithecus cristatus -,9,Mammalia
Trachypithecus francoisi -,18,Mammalia
Trachypithecus francoisi francoisi,5,Mammalia
Trachypithecus obscurus -,14,Mammalia
Trachypithecus phayrei -,2,Mammalia
Trachypithecus vetulus -,4,Mammalia
Trachypithecus vetulus nestor,1,Mammalia
Trachypithecus vetulus vetulus,4,Mammalia
Tragelaphus angasii -,11,Mammalia
Tragelaphus angasii gratus,1,Mammalia
Tragelaphus eurycerus isaaci,4,Mammalia
Tragelaphus imberbis -,7,Mammalia
Tragelaphus spekii gratus,3,Mammalia
Tragopan - -,1,Aves
Tragopan satyra -,1,Aves
Tragopan temminckii -,1,Aves
Tragulus javanicus,5,Mammalia
Tragulus nigricans -,1,Mammalia
Tremarctos ornatus,6,Mammalia
Tremarctos ornatus -,9,Mammalia
Trichechus manatus,3,Mammalia
Trichoglossus haematodus haematodus,2,Aves
Trichoglossus moluccanus -,2,Aves
Trichosirocalus troglodytes,1,Insecta
Trichosurus vulpecula,15,Mammalia
Trichosurus vulpecula -,1,Mammalia
Tricyphona immaculata,3,Insecta
Tringa totanus -,18,Aves
Triodia sylvina,1,Insecta
Tritia reticulata,1,Gastropoda
Trivia arctica,1,Gastropoda
Trivia monacha,1,Gastropoda
Trochalopteron milnei -,7,Aves
Trochulus hispidus,1,Gastropoda
Trochulus striolatus,1,Gastropoda
Troglodytes troglodydes -,4,Aves
Troglodytes troglodytes,2,Aves
Troglodytes troglodytes -,2,Aves
Trypetoptera punctulata,1,Insecta
Tubularia,1,Hydrozoa
Tubularia indivisa,1,Hydrozoa
Tupaia belangeri,1,Mammalia
Tupaia minor -,2,Mammalia
Tuponia hippophaes,1,Insecta
Turdus - -,1,Aves
Turdus iliacus -,4,Aves
Turdus merula -,14,Aves
Turdus philomelos -,6,Aves
Turdus pilaris -,1,Aves
Turritella communis,1,Gastropoda
Tursiops aduncus,1,Mammalia
Tursiops truncatus,4,Mammalia
Tvetenia discoloripes,1,Insecta
Tycherus bellicornis,1,Insecta
Tyto alba -,55,Aves
Tytthaspis sedecimpunctata,2,Insecta
Udea ferrugalis,1,Insecta
Uleiota planatus,2,Insecta
Uloborus plumipes,8,Arachnida
Umbonula littoralis,1,Gymnolaemata
Uria - -,3,Aves
Uria aalge -,3,Aves
Uria lomvia -,2,Aves
Urocyon cinereoargenteus,1,Mammalia
Urothoe elegans,2,Malacostraca
Ursus americanus -,1,Mammalia
Ursus arctos,3,Mammalia
Ursus arctos -,1,Mammalia
Ursus maritimus,2,Mammalia
Ursus maritimus -,7,Mammalia
Ursus thibetanus -,3,Mammalia
Vampyroteuthis infernalis,2,Cephalopoda
Vanellus vanellus -,3,Aves
Varanus exanthematicus -,2,Reptilia
Varanus komodoensis,33,Reptilia
Varanus komodoensis -,2,Reptilia
Varecia - -,1,Mammalia
Varecia rubra -,6,Mammalia
Varecia rubra rubra,3,Mammalia
Varecia rubra rufus,1,Mammalia
Varecia varecia rubra,1,Aves
Varecia variegata -,2,Mammalia
Varecia variegata variegata,4,Mammalia
Venerupis corrugata,9,Bivalvia
Verruca stroemia,1,Thecostraca
Vespa crabro,1,Insecta
Vespula germanica,4,Insecta
Vespula vulgaris,2,Insecta
Vicugna vicugna -,21,Mammalia
Vieillot's mynah -,1,Aves
Villa cingulata,1,Insecta
Villa modesta,1,Insecta
Vitreledonella richardi,12,Cephalopoda
Volucella bombylans,1,Insecta
Volucella inanis,2,Insecta
Volucella zonaria,1,Insecta
Vombatus ursinus,1,Mammalia
Vormela peregusna -,4,Mammalia
Vulpes cana -,8,Mammalia
Vulpes corsac -,6,Mammalia
Vulpes lagopus -,12,Mammalia
Vulpes macrotis -,2,Mammalia
Vulpes rueppelli -,1,Mammalia
Vulpes velox -,1,Mammalia
Vulpes vulpes,8,Mammalia
Vulpes vulpes -,24,Mammalia
Vulpes vulpes arabica,3,Mammalia
Wallabia bicolor -,14,Mammalia
